                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.60957,                0.76206,                0.50516,                0.95235,                0.87977,                0.70067,                0.84264,                0.64701,                0.87977,                0.70067,                0.84264,                0.64069,                0.64563,                 2.1796,                0.73242,                 1.1645,              0.0016244,              0.0016244,              0.0016244
                     65,                0.57914,                0.72671,                0.46698,                0.94228,                0.87159,                0.83333,                0.91277,                0.71943,                0.87159,                0.83333,                0.91277,                0.71561,                0.64781,                 2.1191,                0.65752,                 1.1646,              0.0016237,              0.0016237,              0.0016237
                     66,                0.58063,                 0.6519,                0.50529,                0.97884,                0.82999,                0.86856,                0.91356,                0.70021,                0.82206,                0.95833,                0.93092,                0.70266,                0.66058,                 2.0307,                0.64703,                 1.1811,               0.001623,               0.001623,               0.001623
                     67,                0.59376,                0.75276,                0.49728,                0.97825,                0.77665,                0.88916,                0.88876,                0.68237,                0.77665,                0.88916,                0.88876,                0.62992,                 0.5652,                 2.3576,                0.79352,                 1.1123,              0.0016223,              0.0016223,              0.0016223
                     68,                0.63847,                0.88583,                0.51951,                0.97999,                 0.8386,                0.81548,                0.88772,                0.67531,                0.87163,                0.81548,                0.89216,                 0.6915,                0.61942,                 1.6592,                 1.0176,                 1.1064,              0.0016216,              0.0016216,              0.0016216
                     69,                0.60607,                 0.7106,                0.48018,                0.97095,                0.95569,                 0.7696,                0.88479,                0.72464,                0.95569,                 0.7696,                0.88439,                0.71718,                0.57726,                 1.4399,                0.95163,                  1.089,              0.0016209,              0.0016209,              0.0016209
                     70,                 0.5568,                0.74069,                 0.4856,                0.92881,                0.92033,                0.89881,                0.94187,                0.76559,                0.92033,                0.89881,                0.94135,                0.79886,                0.55821,                0.92745,                0.81613,                  1.067,              0.0016202,              0.0016202,              0.0016202
                     71,                0.60121,                0.72477,                0.51023,                0.98326,                0.91352,                0.95833,                0.95203,                0.78192,                0.91352,                0.95833,                0.95203,                0.83594,                0.50378,                0.95324,                0.70586,                 1.0083,              0.0016196,              0.0016196,              0.0016196
                     72,                0.57368,                0.78386,                 0.4953,                0.94622,                0.89761,                0.88773,                0.95001,                0.78872,                0.89761,                0.88773,                0.95001,                0.79346,                0.50582,                0.87332,                0.71454,                 1.0202,              0.0016189,              0.0016189,              0.0016189
                     73,                0.55238,                0.72152,                 0.4604,                0.95967,                0.89973,                0.88398,                0.94098,                0.77982,                0.89973,                0.88398,                0.94068,                0.77768,                0.52678,                0.93201,                0.69999,                 1.0533,              0.0016182,              0.0016182,              0.0016182
